"";"a";"b"
"617";"TERESA_SURITA";"160608"
"618";"THIAGO_PEIXOTO";"160617"
"619";"TIRIRICA";"160976"
"620";"TONINHO_PINHEIRO";"160611"
"621";"URZENI_ROCHA";"141551"
"622";"VALADARES_FILHO";"141384"
"623";"VALDEMAR_COSTA_NETO";"73565"
"624";"VALDIR_COLATTO";"74010"
"625";"VALDIVINO_DE_OLIVEIRA";"162490"
"626";"VALMIR_ASSUNCAO";"160610"
"627";"VALRY_MORAIS";"169868"
"628";"VALTENIR_PEREIRA";"141552"
"629";"VANDER_LOUBET";"74376"
"630";"VANDERLEI_MACRIS";"141553"
"631";"VANDERLEI_SIRAQUE";"167617"
"632";"VAZ_DE_LIMA";"160595"
